visit,ts,app_state
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411058,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411061,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411063,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411065,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411067,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411072,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411073,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411082,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411092,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411100,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411108,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411137,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411142,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411167,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411197,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411227,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411243,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411246,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411263,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411298,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411328,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411358,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411388,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411418,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411448,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411478,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411593,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411597,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411612,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411657,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411687,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411689,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411717,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411747,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411777,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411807,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411837,
did_v1_063354CF-17BE-4678-96FC-C1B564F4DA35.1602411036,1602411867,
